CODE REGION,REGION,DEPARTEMENTS,COMMUNES,ARRONDISSEMENTS,C0MMUNES d’ARRDT,COMM. RURALES
SN-SL,SAINT LOUIS,DAGANA ,Dagana Richard Toll Rosso Diama Gaé,NDIAYE,,Ronkh
SN-SL,SAINT LOUIS,DAGANA ,Ross-Béthio ,MBANE,,Bokhol
SN-SL,SAINT LOUIS,DAGANA ,Ross-Béthio ,MBANE,,Mbane
SN-SL,SAINT LOUIS,PODOR ,Podor Golléré Ndioum Niandane Mbouma,CAS CAS,,Méry
SN-SL,SAINT LOUIS,PODOR ,Podor Golléré Ndioum Niandane Mbouma,CAS CAS,,Aéré Lao
SN-SL,SAINT LOUIS,PODOR ,Podor Golléré Ndioum Niandane Mbouma,CAS CAS,,Madina Diathbé
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,GAMADJI SARE,,Gamadji Saré
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,GAMADJI SARE,,Dodel
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,GAMADJI SARE,,Guedé Village
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,THILE BOUBACAR,,Fanaye
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,THILE BOUBACAR,,Ndiayene Peindao
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,SALDE,,Mbolo Birane
SN-SL,SAINT LOUIS,PODOR ,Guédé Chantier Démette Galoya Toucouleur,SALDE,,Pété
SN-SL,SAINT LOUIS,SAINT LOUIS ,Saint Louis Mpal,RAO,,Fass Ngom
SN-SL,SAINT LOUIS,SAINT LOUIS ,Saint Louis Mpal,RAO,,Ndiébène Gandiole
SN-SL,SAINT LOUIS,SAINT LOUIS ,Saint Louis Mpal,RAO,,Gandon
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,,,
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BOGHAL,,Boghal
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BOGHAL,,Tankon
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BOGHAL,,Ndiamacouta
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BONA,,Diacounda
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BONA,,Inor
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BONA,,Kandion Mangana
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,BONA,,Bona
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,DIAROUME,,Diambati
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,DIAROUME,,Faoune
SN-SE,SEDHIOU,BOUNKILING ,Bounkiling Madina Wandifa,DIAROUME,,Diaroumé
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DIAROUME,,
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIBANAR,,Yarang Balante
SN-SE,SEDHIOU,GOUDOMP ,Goudomp Samine Tanaff Diattacounda,DJIBANAR,,Mangaroungou Santo
